repo,month,PullRequestEvent,PushEvent,IssueCommentEvent,PullRequestReviewEvent,IssuesEvent,CreateEvent,PullRequestReviewCommentEvent,WatchEvent,ReleaseEvent,DeleteEvent,ForkEvent,total
hyperledger-labs/fabric-builder-k8s,2024-01,1,0,1,0,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-builder-k8s,2024-02,1,0,8,0,3,0,0,0,0,0,0,12
hyperledger-labs/fabric-builder-k8s,2024-03,5,1,5,5,1,1,7,0,1,0,0,26
hyperledger-labs/fabric-builder-k8s,2024-04,8,3,4,3,3,0,2,0,0,0,0,23
hyperledger-labs/fabric-builder-k8s,2024-05,14,8,6,0,7,2,0,0,1,1,0,39
hyperledger-labs/fabric-builder-k8s,2024-06,13,11,4,0,1,2,0,0,1,0,0,32
hyperledger-labs/fabric-builder-k8s,2024-07,3,3,1,0,2,0,0,0,0,0,0,9
hyperledger-labs/fabric-builder-k8s,2024-08,10,6,0,0,1,3,0,0,0,0,0,20
hyperledger-labs/fabric-builder-k8s,2024-09,20,17,8,0,1,0,0,0,0,0,0,46
hyperledger-labs/fabric-builder-k8s,2024-10,11,10,6,0,0,1,0,0,0,0,0,28
hyperledger-labs/fabric-builder-k8s,2024-11,18,12,3,0,7,0,0,0,0,0,0,40
hyperledger-labs/fabric-builder-k8s,2024-12,13,10,6,0,3,1,0,0,0,0,0,33
hyperledger-labs/fabric-builder-k8s,2025-01,12,12,3,8,0,0,0,0,0,0,0,35
hyperledger-labs/fabric-builder-k8s,2025-02,15,9,8,3,2,2,0,0,2,0,0,41
hyperledger-labs/fabric-builder-k8s,2025-03,19,18,4,12,0,0,0,0,0,0,0,53
hyperledger-labs/fabric-builder-k8s,2025-04,8,7,5,4,1,0,0,0,0,0,0,25
hyperledger-labs/fabric-builder-k8s,2025-05,4,5,3,2,0,0,0,0,0,0,0,14
hyperledger-labs/fabric-builder-k8s,2025-06,12,7,5,5,2,0,0,0,0,0,0,31
hyperledger-labs/fabric-builder-k8s,2025-07,4,4,2,4,1,0,0,0,0,0,0,15
hyperledger-labs/fabric-builder-k8s,2025-08,3,4,2,2,0,0,0,0,0,0,0,11
hyperledger-labs/fabric-builder-k8s,2025-09,4,3,4,2,0,0,0,0,0,0,0,13
hyperledger-labs/fabric-builder-k8s,2025-10,3,3,1,2,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-builder-k8s,2025-11,0,6,1,2,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-builder-k8s,2025-12,8,6,3,1,0,0,0,0,0,0,0,18
hyperledger-labs/fabric-builder-k8s,2026-01,0,3,0,1,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-builder-k8s,2026-02,1,2,1,0,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-builder-k8s,2026-03,0,5,4,0,0,0,0,0,0,0,0,9
hyperledger-labs/fabric-builder-k8s,2026-04,0,3,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-builder-k8s,2026-05,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-01,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos,2024-04,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos,2024-05,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger/fabric-protos,2024-06,3,0,10,0,0,0,0,0,0,0,0,13
hyperledger/fabric-protos,2024-07,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-08,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-09,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2024-12,0,0,0,4,0,0,4,0,0,0,0,8
hyperledger/fabric-protos,2025-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos,2025-04,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos-go,2024-01,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger/fabric-protos-go,2024-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go,2024-06,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/fabric-protos-go,2024-09,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger/fabric-protos-go,2024-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go,2025-01,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger/fabric-protos-go,2025-02,0,2,0,0,0,2,0,0,0,0,0,4
hyperledger/fabric-protos-go,2025-03,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go,2025-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2024-01,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2024-09,0,2,0,0,0,2,0,0,0,0,0,4
hyperledger/fabric-protos-go-apiv2,2024-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2025-01,0,2,0,0,0,1,0,0,0,0,0,3
hyperledger/fabric-protos-go-apiv2,2025-02,0,2,0,0,0,2,0,0,0,0,0,4
hyperledger/fabric-protos-go-apiv2,2025-03,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-protos-go-apiv2,2025-04,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/microfab,2024-01,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/microfab,2024-05,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/microfab,2024-06,0,0,1,2,0,0,2,0,0,0,0,5
hyperledger/fabric,2024-01,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2024-04,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2024-09,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric,2025-05,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-11,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2026-01,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-rfcs,2025-05,0,0,0,1,0,0,1,0,0,0,0,2
hyperledger/fabric-rfcs,2026-01,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/fabric-rfcs,2026-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/fabric-samples,2024-04,1,0,0,0,1,0,0,0,0,0,0,2
hyperledger/fabric-samples,2024-05,1,0,0,1,0,0,1,0,0,0,0,3
LF-Decentralized-Trust/governance,2024-11,0,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust/governance,2025-08,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-10,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2025-11,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2024-11,0,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust-labs/LF-Decentralized-Trust-labs.github.io,2025-09,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger-bevel/bevel,2024-11,0,0,1,0,1,0,0,0,0,0,0,2
hyperledger-labs/fabric-operator,2024-03,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-go,2024-01,0,0,2,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust-labs/chainlaunch,2025-03,0,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust-labs/contributors-site,2025-09,0,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust-labs/fabric-chaincode-rust,2025-04,0,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust-labs/fabric-sdk-rust,2025-04,0,0,0,0,0,0,0,1,0,0,0,1
LF-Decentralized-Trust-labs/hypernate,2025-09,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/fabric-ansible-collection,2024-02,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger-labs/fabric-debugger,2024-09,0,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/governance,2024-06,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger/bevel-operator-fabric,2024-06,0,0,0,0,1,0,0,0,0,0,0,1
openwallet-foundation-labs/sd-jwt-js,2024-05,0,0,0,0,0,0,0,1,0,0,0,1
