repo,month,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,CommitCommentEvent,ForkEvent,total
hyperledger/cacti,2024-01,60,41,29,37,32,9,13,0,0,0,0,221
hyperledger/cacti,2024-02,36,30,33,24,10,18,2,0,0,0,0,153
hyperledger/cacti,2024-03,61,79,45,51,26,18,23,0,0,3,0,306
hyperledger/cacti,2024-04,43,37,17,29,9,4,4,0,0,0,0,143
hyperledger/cacti,2024-05,97,32,55,30,23,13,3,0,0,1,0,254
hyperledger/cacti,2024-06,77,77,45,46,32,9,3,3,1,0,0,293
hyperledger/cacti,2024-07,83,83,43,59,30,36,4,5,2,1,0,346
hyperledger/cacti,2024-08,66,24,39,23,36,17,3,0,0,0,0,208
hyperledger/cacti,2024-09,33,38,42,29,17,28,2,6,2,0,0,197
hyperledger/cacti,2024-10,6,13,16,13,1,5,3,3,1,0,0,61
hyperledger-cacti/cacti,2024-10,51,29,25,11,23,22,3,5,1,0,0,170
hyperledger-cacti/cacti,2024-11,71,17,35,15,54,18,0,0,0,0,0,210
hyperledger-cacti/cacti,2024-12,50,23,44,21,19,21,3,1,1,0,0,183
hyperledger-cacti/cacti,2025-01,10,5,9,4,1,9,0,0,0,0,0,38
hyperledger-cacti/cacti,2025-02,11,7,7,9,1,10,0,0,0,0,0,45
hyperledger-cacti/cacti,2025-03,16,21,12,18,3,22,2,0,0,0,0,94
hyperledger-cacti/cacti,2025-04,35,32,39,34,17,31,4,0,0,0,0,192
hyperledger-cacti/cacti,2025-05,10,3,7,4,0,1,1,0,0,0,0,26
hyperledger-cacti/cacti,2025-07,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-cacti/cacti,2025-09,0,0,3,0,0,0,0,0,0,0,0,3
hyperledger-cacti/cacti,2025-10,0,0,1,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/governance,2024-09,10,0,0,0,0,0,0,0,0,0,0,10
LF-Decentralized-Trust/governance,2024-10,10,0,0,0,2,1,0,0,0,0,1,14
LF-Decentralized-Trust/governance,2024-11,5,1,0,0,2,0,0,0,0,0,0,8
LF-Decentralized-Trust/governance,2024-12,10,0,0,0,1,0,0,0,0,0,0,11
LF-Decentralized-Trust/governance,2025-01,7,0,1,0,0,0,0,0,0,0,0,8
LF-Decentralized-Trust/governance,2025-02,4,1,0,0,0,0,0,0,0,0,0,5
LF-Decentralized-Trust/governance,2025-03,4,0,1,0,3,0,0,0,0,0,0,8
LF-Decentralized-Trust/governance,2025-04,5,1,5,0,0,0,0,0,0,0,0,11
LF-Decentralized-Trust/governance,2025-05,14,0,0,0,3,0,0,0,0,0,0,17
LF-Decentralized-Trust/governance,2025-06,9,0,0,0,1,0,0,0,0,0,0,10
LF-Decentralized-Trust/governance,2025-07,2,0,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/governance,2025-08,3,0,1,0,0,0,0,0,0,0,0,4
LF-Decentralized-Trust/governance,2025-09,8,0,0,0,6,0,0,0,0,0,0,14
LF-Decentralized-Trust/governance,2025-12,3,0,0,0,0,0,0,0,0,0,0,3
hyperledger/toc,2024-01,9,1,0,0,3,0,0,0,0,0,0,13
hyperledger/toc,2024-02,8,0,0,0,3,0,0,0,0,0,0,11
hyperledger/toc,2024-03,8,0,0,0,2,0,0,0,0,0,0,10
hyperledger/toc,2024-04,6,0,0,0,0,0,0,0,0,0,0,6
hyperledger/toc,2024-05,13,2,3,0,1,0,0,0,0,0,0,19
hyperledger/toc,2024-06,10,0,0,0,1,0,0,0,0,0,0,11
hyperledger/toc,2024-07,10,1,0,0,0,0,0,0,0,0,0,11
hyperledger/toc,2024-08,8,0,0,0,0,0,0,0,0,0,0,8
hyperledger/toc,2024-09,18,0,0,0,6,0,0,0,0,0,0,24
hyperledger/toc,2024-10,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/toc,2024-11,3,0,0,0,2,0,0,0,0,0,0,5
hyperledger/governance,2024-03,0,0,1,0,0,2,0,0,0,0,0,3
hyperledger/governance,2024-04,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/governance,2024-07,0,0,2,0,0,2,0,0,0,0,0,4
hyperledger/governance,2024-08,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger/governance,2024-09,0,0,1,0,0,1,0,0,0,0,0,2
hyperledger/governance,2024-10,1,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/project-proposals,2024-10,2,0,0,0,0,0,0,0,0,0,0,2
LF-Decentralized-Trust/project-proposals,2024-11,1,0,0,0,0,0,0,0,0,0,0,1
LF-Decentralized-Trust/project-proposals,2025-04,1,0,0,0,0,0,0,0,0,0,0,1
