repo,month,PullRequestReviewEvent,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssueCommentEvent,DeleteEvent,CreateEvent,IssuesEvent,ReleaseEvent,total
hyperledger/cacti,2024-01,19,7,2,10,2,1,0,0,0,41
hyperledger/cacti,2024-02,2,0,0,0,1,0,0,0,0,3
hyperledger/cacti,2024-03,10,0,0,0,1,0,0,0,0,11
hyperledger/cacti,2024-04,4,1,2,3,0,0,0,0,0,10
hyperledger/cacti,2024-05,25,16,8,11,11,2,2,1,0,76
hyperledger/cacti,2024-06,17,11,11,2,11,0,0,0,0,52
hyperledger/cacti,2024-07,15,1,1,7,4,1,0,0,0,29
hyperledger/cacti,2024-08,25,18,10,14,3,3,0,2,0,75
hyperledger/cacti,2024-09,20,8,4,12,1,3,0,0,0,48
hyperledger-cacti/cacti,2024-10,1,0,1,0,1,0,0,0,0,3
hyperledger-cacti/cacti,2024-11,20,0,0,21,2,0,0,0,0,43
hyperledger-cacti/cacti,2024-12,6,1,2,1,1,0,0,0,0,11
hyperledger-cacti/cacti,2025-02,0,5,2,0,1,2,0,0,0,10
hyperledger-cacti/cacti,2025-03,3,4,1,0,2,0,0,2,0,12
hyperledger-cacti/cacti,2025-04,3,1,0,0,0,1,0,0,0,5
hyperledger-cacti/cacti,2025-05,1,1,0,0,0,0,0,0,0,2
hyperledger-cacti/cacti,2025-06,3,0,0,2,2,0,0,0,0,7
hyperledger-cacti/cacti,2025-07,2,1,0,1,1,0,0,0,0,5
hyperledger-cacti/cacti,2025-08,2,2,3,0,2,0,0,1,0,10
hyperledger-cacti/cacti,2025-10,2,2,1,0,0,0,0,0,0,5
hyperledger-cacti/cacti,2025-11,3,8,3,3,1,6,2,0,1,27
hyperledger-cacti/cacti,2025-12,1,1,1,0,0,0,0,0,0,3
hyperledger-cacti/cacti,2026-02,1,0,0,0,0,0,0,0,0,1
hyperledger-cacti/cacti,2026-04,2,12,3,0,5,4,0,0,0,26
hyperledger-cacti/cacti,2026-05,0,13,0,0,0,2,2,0,0,17
hyperledger-labs/weaver-dlt-interoperability,2024-04,3,2,4,0,0,2,0,0,0,11
hyperledger-labs/weaver-dlt-interoperability,2024-05,17,19,44,7,9,7,0,0,0,103
hyperledger-labs/weaver-dlt-interoperability,2024-06,0,1,4,0,1,0,0,0,0,6
hyperledger-labs/weaver-dlt-interoperability,2024-07,0,1,4,0,0,0,0,0,0,5
hyperledger-labs/weaver-dlt-interoperability,2024-08,2,2,3,1,0,0,0,0,0,8
hyperledger/fabric-protos,2024-05,0,0,0,0,2,0,0,0,0,2
