repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,PushEvent,DeleteEvent,ForkEvent,total
openwallet-foundation/credo-ts,2024-02,2,3,0,0,0,0,0,0,5
openwallet-foundation/credo-ts,2024-03,2,2,6,0,0,0,0,0,10
openwallet-foundation/credo-ts,2024-04,2,2,1,1,0,0,0,0,6
openwallet-foundation/credo-ts,2024-05,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2024-06,2,2,0,0,0,0,0,0,4
openwallet-foundation/credo-ts,2024-07,35,33,6,0,0,0,0,0,74
openwallet-foundation/credo-ts,2024-08,10,13,11,0,0,0,0,0,34
openwallet-foundation/credo-ts,2024-09,0,0,2,1,0,0,0,0,3
openwallet-foundation/credo-ts,2024-10,20,20,1,0,0,0,0,0,41
openwallet-foundation/credo-ts,2024-11,10,9,3,1,0,0,0,0,23
openwallet-foundation/credo-ts,2024-12,1,1,0,0,0,0,0,0,2
openwallet-foundation/credo-ts,2025-01,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2025-02,3,2,1,0,0,0,0,0,6
openwallet-foundation-labs/oid4vc-ts,2025-01,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/oid4vc-ts,2025-02,14,14,4,1,2,2,1,1,39
openwallet-foundation-labs/oid4vc-ts,2025-03,3,0,0,1,1,0,1,0,6
openwallet-foundation-labs/dcql-ts,2025-01,1,0,2,0,0,2,0,1,6
openwallet-foundation-labs/dcql-ts,2025-02,5,1,2,0,0,1,2,0,11
openwallet-foundation-labs/dcql-ts,2025-03,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/dcql-ts,2025-04,1,0,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2024-03,3,3,1,1,0,0,0,1,9
openwallet-foundation/bifold-wallet,2024-04,1,1,0,1,0,0,0,0,3
hyperledger/anoncreds-rs,2024-02,0,0,0,1,2,0,0,0,3
openwallet-foundation/project-proposals,2024-12,1,0,0,1,0,0,0,0,2
openwallet-foundation/tac,2024-12,1,0,0,0,0,0,0,0,1
openwallet-foundation/tac,2025-01,0,0,0,1,0,0,0,0,1
hyperledger/anoncreds-spec,2024-02,0,0,0,1,0,0,0,0,1
hyperledger/aries-rfcs,2024-02,0,0,0,1,0,0,0,0,1
