repo,month,PullRequestEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PushEvent,PullRequestReviewEvent,ForkEvent,IssuesEvent,CreateEvent,DeleteEvent,WatchEvent,total
hyperledger/ursa,2018-11,0,0,1,0,0,1,0,0,0,0,2
hyperledger/ursa,2018-12,4,5,7,1,0,0,0,0,0,0,17
hyperledger/ursa,2019-01,7,6,2,2,0,0,0,0,0,0,17
hyperledger/ursa,2019-02,4,1,0,2,0,0,0,0,0,0,7
hyperledger/ursa,2019-03,10,8,0,5,0,0,0,1,0,0,24
hyperledger/ursa,2019-04,3,3,1,2,0,0,0,1,0,0,10
hyperledger/ursa,2019-05,5,8,1,2,0,0,0,0,0,0,16
hyperledger/ursa,2019-06,5,17,2,4,0,0,0,0,0,0,28
hyperledger/ursa,2019-07,2,25,3,0,0,0,0,0,0,0,30
hyperledger/ursa,2019-08,8,1,3,5,0,0,0,0,0,0,17
hyperledger/ursa,2019-09,8,19,4,3,0,0,0,0,0,0,34
hyperledger/ursa,2019-10,11,16,5,5,0,0,0,1,0,1,39
hyperledger/ursa,2019-11,4,21,3,0,0,0,0,0,0,0,28
hyperledger/ursa,2019-12,5,0,5,3,0,0,0,1,0,0,14
hyperledger/ursa,2020-01,4,1,2,4,0,0,0,1,0,0,12
hyperledger/ursa,2020-02,6,0,3,3,0,0,0,1,0,0,13
hyperledger/ursa,2020-03,4,1,3,2,0,0,0,0,0,0,10
hyperledger/ursa,2020-04,9,0,6,7,0,0,0,1,0,0,23
hyperledger/ursa,2020-05,3,1,1,1,0,0,0,1,0,0,7
hyperledger/ursa,2020-06,6,1,4,4,0,0,0,0,0,0,15
hyperledger/ursa,2020-07,4,3,3,2,0,0,1,0,0,0,13
hyperledger/ursa,2020-08,4,1,0,3,0,0,0,0,0,0,8
hyperledger/ursa,2020-09,5,0,0,3,2,0,0,0,0,0,10
hyperledger/ursa,2020-10,0,0,0,0,0,0,3,0,0,0,3
hyperledger/ursa,2020-11,4,2,5,2,4,0,1,0,0,0,18
hyperledger/ursa,2020-12,1,2,0,1,2,0,0,0,0,0,6
hyperledger/ursa,2021-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/ursa,2021-02,0,0,2,0,2,0,0,0,0,0,4
hyperledger/ursa,2021-05,1,0,1,0,0,0,0,1,0,0,3
hyperledger/ursa,2021-06,0,0,1,0,0,0,0,0,0,0,1
hyperledger/ursa,2021-09,1,0,0,0,1,0,0,0,0,0,2
hyperledger/ursa,2022-01,1,0,0,1,0,0,0,0,0,0,2
hyperledger/ursa,2022-08,0,0,0,0,2,0,0,0,0,0,2
hyperledger/ursa,2022-09,0,0,1,0,0,0,0,0,0,0,1
hyperledger/ursa,2022-10,0,0,2,0,1,0,0,0,0,0,3
hyperledger/ursa,2023-01,2,0,0,0,2,0,0,0,0,0,4
hyperledger/ursa,2023-02,1,5,4,4,5,0,0,1,0,0,20
hyperledger/ursa,2023-03,0,0,1,0,1,0,0,0,0,0,2
hyperledger/ursa,2023-04,1,0,1,1,0,0,0,0,0,0,3
hyperledger/anoncreds-v2-rs,2023-10,2,0,1,1,0,1,1,0,0,0,6
hyperledger/anoncreds-v2-rs,2023-11,0,0,0,0,1,0,0,0,0,0,1
hyperledger/anoncreds-v2-rs,2024-01,1,0,0,1,1,0,0,0,0,0,3
hyperledger/anoncreds-v2-rs,2024-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-v2-rs,2024-05,1,0,1,2,3,0,0,0,0,0,7
hyperledger/anoncreds-v2-rs,2024-06,1,0,0,0,2,0,0,0,0,0,3
hyperledger/anoncreds-v2-rs,2024-07,2,0,4,1,1,0,0,0,0,0,8
hyperledger/anoncreds-v2-rs,2024-08,2,0,0,1,1,0,0,0,0,0,4
hyperledger/anoncreds-v2-rs,2024-12,1,0,1,0,0,0,0,0,0,0,2
hyperledger/anoncreds-v2-rs,2025-01,1,0,2,0,0,0,0,0,0,0,3
hyperledger/anoncreds-v2-rs,2025-02,0,3,1,0,2,0,3,0,0,0,9
hyperledger/anoncreds-v2-rs,2025-03,8,4,8,0,5,0,0,1,0,0,26
hyperledger/ursa-rfcs,2019-02,4,12,0,2,0,1,0,0,0,0,19
hyperledger/ursa-rfcs,2019-03,1,0,1,0,0,0,0,0,0,0,2
hyperledger/ursa-rfcs,2019-04,0,2,3,0,0,0,0,0,0,0,5
hyperledger/ursa-rfcs,2019-05,1,2,2,1,0,0,0,0,0,0,6
hyperledger/ursa-rfcs,2019-07,0,2,0,0,0,0,0,0,0,0,2
hyperledger/ursa-rfcs,2019-08,2,2,1,1,0,0,0,0,0,0,6
hyperledger/ursa-rfcs,2019-09,0,5,0,0,0,0,0,0,0,0,5
hyperledger/ursa-rfcs,2019-11,1,2,0,1,0,0,0,0,0,0,4
hyperledger/ursa-rfcs,2020-01,1,0,0,1,0,0,0,0,0,0,2
hyperledger/ursa-rfcs,2020-02,1,5,1,0,0,0,0,0,0,0,7
hyperledger/ursa-rfcs,2020-06,3,0,1,0,0,0,0,0,0,0,4
hyperledger/ursa-rfcs,2020-07,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2017-10,1,0,1,0,0,1,0,0,0,0,3
hyperledger/indy-sdk,2017-11,2,0,1,0,0,1,0,0,0,0,4
hyperledger/indy-sdk,2018-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2018-05,0,1,1,0,0,1,0,0,0,0,3
hyperledger/indy-sdk,2018-06,0,0,2,0,0,0,0,0,0,0,2
hyperledger/indy-sdk,2018-08,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2018-11,0,0,2,0,0,0,0,0,0,0,2
hyperledger/indy-sdk,2019-01,1,4,0,0,0,0,0,0,0,0,5
hyperledger/indy-sdk,2019-03,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2019-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2019-06,2,2,0,0,0,0,0,0,0,0,4
hyperledger/indy-sdk,2019-07,3,8,4,0,0,0,0,0,0,0,15
hyperledger/indy-sdk,2019-08,0,1,2,1,0,0,0,0,0,0,4
hyperledger/indy-sdk,2019-09,0,1,1,0,0,0,0,0,0,0,2
hyperledger/indy-sdk,2019-10,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2019-12,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2020-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-sdk,2020-08,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/crypto-lib,2018-07,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/crypto-lib,2018-08,4,5,1,0,0,2,0,0,0,0,12
hyperledger-labs/crypto-lib,2018-09,1,0,0,1,0,0,0,0,0,0,2
hyperledger-labs/crypto-lib,2018-10,11,1,2,5,0,0,0,0,0,0,19
hyperledger-labs/crypto-lib,2018-11,2,2,2,1,0,0,0,0,0,0,7
hyperledger-labs/crypto-lib,2019-02,2,0,1,0,0,0,0,0,0,0,3
hyperledger/anoncreds-spec,2023-08,0,2,0,0,6,0,0,0,0,0,8
hyperledger/anoncreds-spec,2023-10,0,4,0,1,6,0,0,0,0,0,11
hyperledger/anoncreds-spec,2023-11,1,5,1,0,14,0,0,0,0,0,21
hyperledger/anoncreds-spec,2023-12,0,0,0,0,1,0,0,0,0,0,1
hyperledger/anoncreds-spec,2024-03,0,0,0,0,1,0,0,0,0,0,1
hyperledger/indy-crypto,2018-02,0,0,0,0,0,2,0,0,0,0,2
hyperledger/indy-crypto,2018-03,8,0,0,0,0,1,0,0,0,0,9
hyperledger/indy-crypto,2018-04,1,0,1,0,0,0,0,0,0,0,2
hyperledger/indy-crypto,2018-05,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-crypto,2018-07,1,0,4,0,0,0,0,0,0,0,5
hyperledger/indy-crypto,2018-11,9,1,4,6,0,2,0,0,0,0,22
hyperledger/indy-hipe,2018-08,0,0,0,0,0,1,0,0,0,0,1
hyperledger/indy-hipe,2018-09,1,1,9,0,0,0,0,0,0,0,11
hyperledger/indy-hipe,2018-10,1,3,10,0,0,0,0,0,0,0,14
hyperledger/indy-hipe,2018-11,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-hipe,2018-12,0,2,0,0,0,0,0,0,0,0,2
hyperledger/indy-hipe,2019-01,0,2,0,0,0,0,0,0,0,0,2
hyperledger/indy-hipe,2019-02,1,3,3,0,0,1,0,0,0,0,8
hyperledger-labs/z-mix,2018-06,0,0,0,0,0,1,0,0,0,0,1
hyperledger-labs/z-mix,2018-07,5,0,0,0,0,0,0,0,0,0,5
hyperledger-labs/z-mix,2018-08,7,2,0,6,0,0,0,0,0,0,15
hyperledger-labs/z-mix,2018-09,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/z-mix,2018-11,2,2,0,1,0,0,0,0,0,0,5
hyperledger-labs/agora-unknown_order,2023-11,0,0,0,0,1,0,0,0,0,0,1
hyperledger-labs/agora-unknown_order,2023-12,1,0,2,0,0,1,0,0,0,0,4
hyperledger-labs/agora-unknown_order,2024-02,6,0,0,3,0,0,0,0,0,0,9
hyperledger-labs/agora-unknown_order,2024-05,3,0,0,1,0,0,0,0,0,0,4
hyperledger-labs/agora-unknown_order,2024-06,3,0,0,2,1,0,0,0,0,0,6
hyperledger/ursa-docs,2019-06,6,1,0,3,0,1,0,0,0,0,11
hyperledger/ursa-docs,2019-08,2,0,0,3,0,0,0,0,0,0,5
hyperledger/ursa-docs,2019-09,1,0,0,1,0,0,0,0,0,0,2
hyperledger/ursa-docs,2022-05,0,0,0,0,1,0,0,0,0,0,1
LF-Decentralized-Trust-labs/agora-glass_pumpkin,2025-02,0,1,1,0,1,0,0,0,0,0,3
LF-Decentralized-Trust-labs/agora-glass_pumpkin,2025-11,1,0,0,2,1,0,0,0,0,0,4
LF-Decentralized-Trust-labs/agora-glass_pumpkin,2026-02,2,0,1,1,0,0,1,0,0,0,5
LF-Decentralized-Trust-labs/agora-key-share-proofs,2024-12,0,0,0,2,0,0,0,0,0,0,2
LF-Decentralized-Trust-labs/agora-key-share-proofs,2025-02,2,0,1,1,1,0,0,0,0,0,5
LF-Decentralized-Trust-labs/agora-key-share-proofs,2025-05,0,0,0,3,0,0,0,0,0,0,3
LF-Decentralized-Trust-labs/agora-key-share-proofs,2025-06,1,0,0,0,1,0,0,0,0,0,2
hyperledger-labs/hyperledger-labs.github.io,2023-09,1,3,3,0,3,1,0,0,0,0,11
hyperledger/aries-rfcs,2019-05,1,0,1,0,0,1,0,0,0,0,3
hyperledger/aries-rfcs,2019-06,0,0,2,0,0,0,0,0,0,0,2
hyperledger/aries-rfcs,2019-08,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-rfcs,2019-10,0,0,4,0,0,0,0,0,0,0,4
hyperledger/aries-rfcs,2020-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/agora-key-share-proofs,2024-03,0,0,0,4,0,0,0,0,0,0,4
hyperledger-labs/agora-key-share-proofs,2024-05,0,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/agora-key-share-proofs,2024-06,0,0,0,4,0,0,0,0,0,0,4
hyperledger-labs/agora-allosaurus-rs,2024-06,4,0,0,2,0,1,0,0,0,0,7
hyperledger/ursa-python,2019-08,0,4,1,0,0,0,0,0,0,0,5
hyperledger/ursa-python,2020-01,1,0,0,1,0,0,0,0,0,0,2
LF-Decentralized-Trust-labs/agora-blsful,2024-11,2,0,1,1,0,0,0,0,0,0,4
LF-Decentralized-Trust-labs/agora-blsful,2025-09,0,0,0,1,0,0,0,0,0,0,1
LF-Decentralized-Trust-labs/agora-blsful,2026-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/governance,2023-09,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/governance,2023-11,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/governance,2024-01,0,0,0,0,0,0,1,0,0,0,1
hyperledger-labs/governance,2024-05,0,0,2,0,0,0,0,0,0,0,2
hyperledger-labs/governance,2024-07,0,0,0,0,0,0,1,0,0,0,1
