repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,PullRequestEvent,IssueCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,GollumEvent,CommitCommentEvent,WatchEvent,DiscussionEvent,total
openwallet-foundation/credo-ts,2024-01,38,47,15,21,15,1,2,3,0,0,4,0,0,0,146
openwallet-foundation/credo-ts,2024-02,47,72,25,38,74,61,1,0,0,0,2,0,0,0,320
openwallet-foundation/credo-ts,2024-03,34,22,14,19,18,4,3,0,0,0,0,0,0,0,114
openwallet-foundation/credo-ts,2024-04,26,17,21,34,16,3,1,0,0,0,0,0,0,0,118
openwallet-foundation/credo-ts,2024-05,12,8,9,15,8,1,1,0,0,0,0,2,0,0,56
openwallet-foundation/credo-ts,2024-06,49,45,32,56,22,7,5,3,0,0,0,0,0,0,219
openwallet-foundation/credo-ts,2024-07,58,67,11,20,12,2,4,5,2,0,0,0,0,0,181
openwallet-foundation/credo-ts,2024-08,30,20,26,22,12,8,1,1,0,0,0,0,0,0,120
openwallet-foundation/credo-ts,2024-09,33,29,10,10,9,2,1,1,0,0,0,0,0,0,95
openwallet-foundation/credo-ts,2024-10,56,54,15,17,15,2,3,3,2,0,0,0,0,0,167
openwallet-foundation/credo-ts,2024-11,46,49,39,35,14,12,3,5,1,0,0,0,0,0,204
openwallet-foundation/credo-ts,2024-12,7,5,6,8,7,4,0,2,0,0,0,0,0,0,39
openwallet-foundation/credo-ts,2025-01,30,28,12,31,37,15,1,0,0,0,0,0,0,0,154
openwallet-foundation/credo-ts,2025-02,19,23,22,16,13,11,0,1,0,0,0,0,0,0,105
openwallet-foundation/credo-ts,2025-03,23,23,31,28,34,11,0,0,0,0,0,0,0,0,150
openwallet-foundation/credo-ts,2025-04,10,0,11,19,5,8,0,0,0,0,0,0,0,0,53
openwallet-foundation/credo-ts,2025-05,50,40,17,16,17,9,4,2,1,0,0,0,0,0,156
openwallet-foundation/credo-ts,2025-06,24,21,3,5,7,2,0,1,0,0,0,0,0,0,63
openwallet-foundation/credo-ts,2025-07,13,12,10,4,2,1,0,0,0,0,0,0,0,0,42
openwallet-foundation/credo-ts,2025-08,32,21,7,12,13,0,0,0,0,0,0,0,0,0,85
openwallet-foundation/credo-ts,2025-09,26,38,13,13,11,2,3,1,1,0,1,0,0,0,109
openwallet-foundation/credo-ts,2025-10,15,19,3,6,5,1,0,0,0,0,0,0,0,0,49
openwallet-foundation/credo-ts,2025-11,8,5,36,9,11,4,5,7,0,0,0,0,0,0,85
openwallet-foundation/credo-ts,2025-12,12,1,29,4,8,4,10,6,0,0,0,0,0,1,75
openwallet-foundation/credo-ts,2026-01,6,5,29,4,4,2,2,7,0,0,0,0,0,0,59
openwallet-foundation/credo-ts,2026-02,7,3,10,2,3,0,2,1,1,0,0,0,0,0,29
openwallet-foundation/credo-ts,2026-03,1,1,6,2,1,0,5,2,0,0,0,0,0,0,18
openwallet-foundation/credo-ts,2026-05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/oid4vc-ts,2025-01,8,4,6,9,0,1,6,5,0,1,0,0,0,0,40
openwallet-foundation-labs/oid4vc-ts,2025-02,14,31,13,10,4,19,3,6,0,0,0,0,0,0,100
openwallet-foundation-labs/oid4vc-ts,2025-03,3,3,59,15,9,23,7,8,0,0,0,0,0,0,127
openwallet-foundation-labs/oid4vc-ts,2025-04,0,0,8,2,0,0,1,1,0,0,0,0,0,0,12
openwallet-foundation-labs/oid4vc-ts,2025-05,1,0,6,1,0,2,0,0,0,0,0,0,0,0,10
openwallet-foundation-labs/oid4vc-ts,2025-06,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4
openwallet-foundation-labs/oid4vc-ts,2025-07,6,4,9,6,3,0,2,4,0,0,0,0,0,0,34
openwallet-foundation-labs/oid4vc-ts,2025-08,13,12,3,4,0,0,3,0,0,0,0,0,0,0,35
openwallet-foundation-labs/oid4vc-ts,2025-09,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3
openwallet-foundation-labs/oid4vc-ts,2025-10,2,2,7,3,1,4,1,2,0,0,0,0,0,0,22
openwallet-foundation-labs/oid4vc-ts,2025-11,5,4,16,4,2,3,6,3,0,0,0,0,0,0,43
openwallet-foundation-labs/oid4vc-ts,2025-12,4,0,15,4,1,1,9,2,0,0,0,0,0,0,36
openwallet-foundation-labs/oid4vc-ts,2026-01,2,1,5,2,0,1,3,1,0,0,0,0,0,0,15
openwallet-foundation-labs/oid4vc-ts,2026-02,3,1,6,1,0,0,3,1,0,0,0,0,0,0,15
openwallet-foundation-labs/dcql-ts,2025-01,1,0,3,4,0,1,1,3,0,0,0,0,0,0,13
openwallet-foundation-labs/dcql-ts,2025-02,5,3,7,7,1,4,3,5,0,0,0,0,0,0,35
openwallet-foundation-labs/dcql-ts,2025-03,1,0,2,3,2,3,2,1,0,0,0,0,0,0,14
openwallet-foundation-labs/dcql-ts,2025-04,2,1,2,4,2,1,1,4,0,0,0,0,0,0,17
openwallet-foundation-labs/dcql-ts,2025-05,1,1,5,2,3,1,2,1,0,0,0,0,0,0,16
openwallet-foundation-labs/dcql-ts,2025-06,0,0,2,1,0,0,1,1,1,0,0,0,0,0,6
openwallet-foundation-labs/dcql-ts,2025-07,2,0,16,8,3,8,7,3,2,0,0,0,0,0,49
openwallet-foundation-labs/dcql-ts,2025-08,2,1,1,1,0,0,0,0,0,0,0,0,0,0,5
openwallet-foundation-labs/dcql-ts,2025-09,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4
openwallet-foundation-labs/dcql-ts,2025-10,2,2,1,0,1,1,0,0,0,0,0,0,0,0,7
openwallet-foundation-labs/dcql-ts,2025-11,5,0,9,1,0,0,5,1,0,0,0,0,0,0,21
openwallet-foundation-labs/dcql-ts,2025-12,3,0,3,0,1,0,2,0,0,0,0,0,0,0,9
openwallet-foundation-labs/dcql-ts,2026-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/dcql-ts,2026-02,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3
openwallet-foundation-labs/dcql-ts,2026-03,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
hyperledger/anoncreds-rs,2024-01,11,2,6,11,19,4,1,7,2,0,0,0,0,0,63
hyperledger/anoncreds-rs,2024-02,6,3,9,9,5,4,10,6,3,0,0,0,0,0,55
hyperledger/anoncreds-rs,2024-04,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
hyperledger/anoncreds-rs,2024-05,0,0,1,1,5,2,0,0,0,0,0,0,0,0,9
hyperledger/anoncreds-rs,2024-06,1,0,0,1,2,0,0,0,0,0,0,0,0,0,4
hyperledger/anoncreds-rs,2024-09,1,0,2,2,0,0,0,1,0,0,0,0,0,0,6
hyperledger/anoncreds-rs,2025-02,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
hyperledger/anoncreds-rs,2025-03,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3
hyperledger/anoncreds-rs,2025-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2025-08,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
hyperledger/anoncreds-rs,2025-09,0,0,3,1,3,1,0,1,2,0,0,0,0,0,11
hyperledger/anoncreds-rs,2025-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation/didcomm-mediator-credo,2025-01,13,14,0,4,6,2,0,0,0,0,0,0,0,0,39
openwallet-foundation/didcomm-mediator-credo,2025-02,2,3,0,0,2,0,0,0,0,0,0,0,0,0,7
