repo,month,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,ForkEvent,IssuesEvent,total
hyperledger/bevel,2023-05,0,0,0,0,1,0,1
hyperledger/bevel,2023-06,3,0,0,2,0,0,5
hyperledger/bevel,2023-07,1,0,0,0,0,0,1
hyperledger/bevel,2023-08,2,0,0,2,0,1,5
hyperledger/bevel,2023-09,0,0,0,1,0,0,1
hyperledger/bevel,2023-10,2,0,0,0,0,0,2
hyperledger/bevel,2023-11,0,8,8,0,6,0,22
hyperledger/bevel,2023-12,1,0,0,1,0,0,2
hyperledger/bevel,2024-01,2,0,0,1,0,0,3
hyperledger/bevel,2024-02,4,0,0,0,0,0,4
hyperledger/bevel,2024-03,1,0,0,0,0,0,1
hyperledger/bevel,2024-04,1,0,0,1,0,0,2
hyperledger/bevel,2024-05,0,2,2,0,0,0,4
hyperledger/bevel,2024-06,1,1,1,0,0,2,5
hyperledger/bevel,2024-07,1,0,0,1,0,1,3
hyperledger/bevel-samples,2024-01,0,0,0,0,1,0,1
