repo,month,IssueCommentEvent,PullRequestReviewEvent,IssuesEvent,PullRequestReviewCommentEvent,PushEvent,PullRequestEvent,CreateEvent,ForkEvent,total
openwallet-foundation/bifold-wallet,2024-03,7,2,7,1,0,1,1,0,19
openwallet-foundation/bifold-wallet,2024-04,0,1,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2024-05,1,1,0,0,0,1,0,0,3
openwallet-foundation/bifold-wallet,2024-06,2,1,0,0,0,0,0,0,3
openwallet-foundation/bifold-wallet,2024-07,2,11,0,5,9,1,1,0,29
openwallet-foundation/bifold-wallet,2024-08,5,3,3,3,6,4,2,0,26
openwallet-foundation/bifold-wallet,2024-09,19,0,18,0,0,0,0,0,37
openwallet-foundation/bifold-wallet,2024-10,1,0,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2024-11,0,4,0,3,1,1,0,0,9
openwallet-foundation/bifold-wallet,2024-12,3,7,2,3,0,0,0,0,15
openwallet-foundation/bifold-wallet,2025-02,1,0,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2025-07,0,2,0,2,0,0,0,0,4
openwallet-foundation/bifold-wallet,2025-08,0,0,0,0,0,0,1,0,1
hyperledger/indy-vdr,2024-04,1,0,0,0,0,0,0,0,1
hyperledger/indy-vdr,2024-05,3,3,0,2,0,1,0,0,9
hyperledger/indy-vdr,2024-06,1,1,0,1,0,0,0,0,3
hyperledger-indy/indy-vdr,2026-02,2,3,0,1,0,1,0,0,7
hyperledger/aries-mobile-agent-react-native,2024-01,1,0,0,0,0,1,0,0,2
hyperledger/aries-mobile-agent-react-native,2024-02,0,2,1,2,0,0,0,0,5
openwallet-foundation/askar-wrapper-javascript,2025-01,1,3,0,3,0,0,0,0,7
hyperledger/aries-askar,2024-09,1,0,0,0,0,0,0,1,2
hyperledger/aries-askar,2024-10,3,0,0,0,0,0,0,0,3
openwallet-foundation/credo-ts,2024-05,0,0,0,1,0,0,0,0,1
openwallet-foundation/credo-ts,2024-07,0,0,1,0,0,0,0,0,1
openwallet-foundation/credo-ts,2024-10,1,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2025-02,1,0,0,0,0,0,0,0,1
openwallet-foundation/credo-ts,2025-04,1,0,0,0,0,0,0,0,1
openwallet-foundation/mobile-wallet-test-harness,2024-06,0,2,0,2,0,0,0,0,4
hyperledger/anoncreds-rs,2024-06,0,1,0,1,0,0,0,0,2
hyperledger/anoncreds-rs,2025-06,1,0,0,0,0,0,0,0,1
openwallet-foundation/digital-wallet-and-agent-overviews-sig,2024-05,0,2,0,1,0,0,0,0,3
openwallet-foundation/architecture-sig,2024-02,0,1,0,1,0,0,0,0,2
hyperledger/aries-rfcs,2024-05,1,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2024-11,1,0,0,0,0,0,0,0,1
openwallet-foundation/owl-mobile-wallet-test-harness,2024-10,0,1,0,0,0,0,0,0,1
