repo,month,PullRequestEvent,PullRequestReviewEvent,PushEvent,IssueCommentEvent,DeleteEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,ReleaseEvent,WatchEvent,ForkEvent,total
openwallet-foundation/askar,2024-11,21,1,5,5,1,0,0,0,0,0,0,33
openwallet-foundation/askar,2024-12,2,6,5,5,1,0,2,0,0,0,0,21
openwallet-foundation/askar,2025-01,15,5,9,8,6,1,0,0,1,0,0,45
openwallet-foundation/askar,2025-02,3,3,3,0,3,0,0,0,0,0,0,12
openwallet-foundation/askar,2025-03,17,11,12,3,11,0,3,1,1,0,0,59
openwallet-foundation/askar,2025-04,3,3,4,0,1,0,2,0,0,0,0,13
openwallet-foundation/askar,2025-05,4,3,3,1,2,0,0,1,0,0,0,14
openwallet-foundation/askar,2025-06,2,2,2,0,1,1,0,0,0,0,0,8
openwallet-foundation/askar,2025-07,0,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-08,2,1,3,2,3,0,0,0,0,0,0,11
openwallet-foundation/askar,2025-09,5,8,7,2,6,0,0,1,1,0,0,30
openwallet-foundation/askar,2025-10,0,0,0,1,0,0,1,0,0,0,0,2
openwallet-foundation/askar,2025-12,3,1,7,1,4,0,0,0,0,0,0,16
hyperledger/indy-vdr,2024-01,1,16,1,8,0,14,0,0,0,0,0,40
hyperledger/indy-vdr,2024-02,2,9,3,1,1,7,0,0,0,0,0,23
hyperledger/indy-vdr,2024-04,2,0,2,0,1,0,0,2,2,0,0,9
hyperledger/indy-vdr,2024-05,3,3,3,3,0,1,0,0,0,0,0,13
hyperledger/indy-vdr,2024-06,1,1,1,0,1,1,0,2,1,0,0,8
hyperledger/indy-vdr,2024-10,1,1,1,1,0,0,0,0,0,0,0,4
hyperledger/anoncreds-clsignatures-rs,2024-01,1,1,1,1,0,0,0,1,0,0,0,5
hyperledger/anoncreds-clsignatures-rs,2024-02,1,0,0,1,0,0,0,1,0,0,0,3
hyperledger/anoncreds-clsignatures-rs,2024-05,1,0,0,1,1,0,0,0,0,0,0,3
hyperledger/anoncreds-clsignatures-rs,2024-06,2,1,1,0,0,0,0,0,0,0,0,4
hyperledger/anoncreds-clsignatures-rs,2025-05,7,8,9,2,9,0,0,0,0,0,0,35
hyperledger/anoncreds-clsignatures-rs,2025-09,1,0,3,0,1,0,0,0,0,0,0,5
hyperledger/anoncreds-clsignatures-rs,2025-11,0,0,0,0,2,0,0,0,0,0,0,2
hyperledger/aries-askar,2024-01,3,0,1,1,0,0,2,0,0,0,0,7
hyperledger/aries-askar,2024-02,1,2,3,1,2,0,0,0,0,0,0,9
hyperledger/aries-askar,2024-03,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-askar,2024-04,2,3,2,3,1,1,1,0,0,0,0,13
hyperledger/aries-askar,2024-05,0,3,0,1,0,2,0,0,0,0,0,6
hyperledger/aries-askar,2024-06,2,1,2,1,0,0,1,0,0,0,0,7
hyperledger/aries-askar,2024-08,2,2,0,1,0,1,0,0,0,0,0,6
hyperledger/aries-askar,2024-09,1,0,0,2,0,0,0,0,0,0,0,3
hyperledger/aries-askar,2024-10,0,0,0,5,0,0,0,0,0,0,0,5
hyperledger/anoncreds-rs,2024-01,6,11,2,8,1,6,1,0,0,1,0,36
hyperledger/anoncreds-rs,2024-02,3,2,1,0,0,1,0,0,0,0,0,7
hyperledger/anoncreds-rs,2024-05,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/anoncreds-rs,2024-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/anoncreds-rs,2025-05,0,1,0,0,0,1,0,0,0,0,0,2
hyperledger/anoncreds-rs,2025-11,1,1,1,0,1,0,1,0,0,0,0,5
hyperledger/aries-cloudagent-python,2024-01,3,1,0,8,0,1,0,0,0,0,0,13
hyperledger/aries-cloudagent-python,2024-04,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-06,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-bls-wrapper-python,2024-02,3,1,2,0,1,0,0,0,0,0,0,7
openwallet-foundation/acapy,2024-11,0,2,0,0,0,2,0,0,0,0,0,4
openwallet-foundation/acapy,2025-02,0,0,0,2,0,0,0,0,0,0,0,2
openwallet-foundation/acapy,2025-12,0,0,0,1,0,0,0,0,0,0,0,1
anoncreds/anoncreds-v2-rs,2025-12,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger-indy/indy-shared-rs,2026-01,1,0,2,0,0,0,0,0,0,0,0,3
hyperledger/aries-bbssignatures-rs,2024-04,1,0,1,0,0,0,0,1,0,0,0,3
anoncreds/anoncreds,2025-12,0,1,1,0,0,0,0,0,0,0,0,2
anoncreds/.github,2025-12,0,1,0,0,0,0,0,0,0,0,0,1
anoncreds/anoncreds-clsignatures-rs,2025-12,0,1,0,0,0,0,0,0,0,0,0,1
anoncreds/anoncreds-methods-registry,2025-12,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/agora-glass_pumpkin,2024-05,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger/anoncreds-v2-rs,2024-07,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2025-05,0,0,0,0,0,0,0,0,0,1,0,1
openwallet-foundation/askar-wrapper-javascript,2025-09,0,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/bifold-wallet,2024-05,0,0,0,0,0,0,1,0,0,0,0,1
