repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,IssuesEvent,PushEvent,ForkEvent,WatchEvent,total
openwallet-foundation/acapy,2024-10,10,0,7,0,3,0,0,0,20
openwallet-foundation/acapy,2024-11,11,3,8,2,2,0,0,0,26
openwallet-foundation/acapy,2024-12,5,3,5,3,1,1,0,0,18
openwallet-foundation/acapy,2025-01,15,24,2,20,0,0,0,0,61
openwallet-foundation/acapy,2025-02,29,14,8,9,4,3,0,0,67
openwallet-foundation/acapy,2025-03,19,22,11,23,5,1,0,0,81
openwallet-foundation/acapy,2025-04,48,24,28,13,9,8,0,0,130
openwallet-foundation/acapy,2025-05,7,4,5,2,3,0,0,0,21
openwallet-foundation/acapy,2025-06,7,1,1,0,1,0,0,0,10
openwallet-foundation/acapy,2025-07,10,2,3,0,1,0,0,0,16
openwallet-foundation/acapy,2025-08,3,3,1,4,0,0,0,0,11
openwallet-foundation/acapy,2025-09,2,6,1,3,0,1,0,0,13
openwallet-foundation/acapy,2025-10,6,2,2,1,0,0,0,0,11
openwallet-foundation/acapy,2025-11,1,1,0,1,0,0,0,0,3
openwallet-foundation/acapy,2026-01,0,5,0,4,0,0,0,0,9
openwallet-foundation/acapy,2026-02,1,1,0,0,0,0,0,0,2
hyperledger/aries-cloudagent-python,2024-02,12,7,2,6,0,0,0,0,27
hyperledger/aries-cloudagent-python,2024-04,7,1,4,1,2,0,0,0,15
hyperledger/aries-cloudagent-python,2024-05,18,0,7,0,3,0,0,0,28
hyperledger/aries-cloudagent-python,2024-06,11,3,2,3,1,0,0,0,20
hyperledger/aries-cloudagent-python,2024-07,10,0,3,0,0,0,0,0,13
hyperledger/aries-cloudagent-python,2024-08,10,1,4,1,0,0,0,0,16
hyperledger/aries-cloudagent-python,2024-09,0,0,1,0,0,0,0,0,1
hyperledger/aries-cloudagent-python,2024-10,0,1,0,1,0,0,0,0,2
openwallet-foundation/acapy-plugins,2024-10,0,0,0,0,1,0,0,0,1
openwallet-foundation/acapy-plugins,2025-03,8,1,6,0,0,0,0,0,15
openwallet-foundation/acapy-plugins,2025-04,27,11,24,1,1,4,0,0,68
openwallet-foundation/acapy-plugins,2025-05,2,0,1,0,1,0,0,0,4
openwallet-foundation/acapy-plugins,2025-07,0,0,2,0,0,0,0,0,2
openwallet-foundation/acapy-plugins,2025-08,0,7,2,3,0,1,0,0,13
hyperledger/aries-askar,2024-03,2,0,0,0,1,0,1,0,4
hyperledger/aries-askar,2024-05,2,0,0,0,1,0,0,0,3
hyperledger/aries-askar,2024-07,2,0,1,0,1,0,0,0,4
hyperledger/aries-askar,2024-08,5,3,2,3,0,0,0,0,13
hyperledger/aries-askar,2024-09,1,0,0,0,0,0,0,0,1
hyperledger/aries-askar,2024-10,3,0,0,0,0,0,0,0,3
hyperledger/aries-acapy-plugins,2024-02,2,0,3,0,0,0,0,0,5
hyperledger/aries-acapy-plugins,2024-03,1,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugins,2024-05,9,2,4,2,0,0,0,0,17
openwallet-foundation/askar,2024-12,1,0,0,0,0,0,0,0,1
openwallet-foundation/askar,2025-01,3,4,0,2,0,0,0,0,9
hyperledger-archives/indy-sdk,2024-05,0,0,0,0,0,0,1,0,1
hyperledger/anoncreds-clsignatures-rs,2025-07,0,0,0,0,0,0,1,0,1
hyperledger/anoncreds-rs,2025-07,0,0,0,0,0,0,1,0,1
hyperledger/aries-rfcs,2024-09,0,0,0,0,0,0,0,1,1
openwallet-foundation/acapy-vc-authn-oidc,2024-12,0,0,0,0,0,0,0,1,1
openwallet-foundation/askar-wrapper-javascript,2024-12,0,0,0,0,0,0,1,0,1
